ToyId,ElfId,StartTime,Duration
3099,1,2014 1 1 9 0,569,1.2065860379099835
103,1,2014 1 1 18 29,26,1.2169844711974005
1,1,2014 1 1 18 55,5,1.2189944199947573
3503,1,2014 1 2 9 0,427,1.4034801458548976
4558,1,2014 1 2 16 7,123,1.461627230487882
408,1,2014 1 2 18 10,35,1.4786091598942874
20,1,2014 1 2 18 45,11,1.4839869794787068
14,1,2014 1 2 18 56,3,1.4854570491930235
26,1,2014 1 2 18 59,1,1.4859473959783551
1725,1,2014 1 3 9 0,317,1.649836887235658
2418,1,2014 1 3 14 17,170,1.7450511556979593
2920,1,2014 1 3 17 7,65,1.7828919145487565
235,1,2014 1 3 18 12,27,1.7988505891144304
120,1,2014 1 3 18 39,12,1.8059891094847218
30,1,2014 1 3 18 51,5,1.8089718473294183
83,1,2014 1 3 18 56,3,1.8107638541081734
35,1,2014 1 3 18 59,1,1.8113615841033552
1378,1,2014 1 4 9 0,214,1.943923181513449
1626,1,2014 1 4 12 34,182,2.0642689802978813
885,1,2014 1 4 15 36,99,2.132831616086404
1113,1,2014 1 4 17 15,50,2.168320020232528
219,1,2014 1 4 18 5,26,2.187006736610594
62,1,2014 1 4 18 31,14,2.1971354308146593
117,1,2014 1 4 18 45,7,2.202217355262335
29,1,2014 1 4 18 52,4,2.2051265878221686
97,1,2014 1 4 18 56,2,2.2065826449972437
11,1,2014 1 4 18 58,1,2.207311034086064
183,1,2014 1 4 18 59,1,2.208039663614854
3331,1,2014 1 5 9 0,155,2.3239350219597807
2761,1,2014 1 5 11 35,143,2.4362455390157374
4716,1,2014 1 5 13 58,124,2.5380182767235664
2294,1,2014 1 5 16 2,71,2.5981942368990567
684,1,2014 1 5 17 13,42,2.6344607670658915
166,1,2014 1 5 17 55,25,2.6562878772996465
105,1,2014 1 5 18 20,16,2.670352039953436
150,1,2014 1 5 18 36,9,2.6782958301358466
146,1,2014 1 5 18 45,6,2.68360481440409
43,1,2014 1 5 18 51,4,2.6871499824072087
2,1,2014 1 5 18 55,2,2.6889243222723187
12,1,2014 1 5 18 57,2,2.690699833743769
209,1,2014 1 5 18 59,1,2.6915880290736074
3813,1,2014 1 6 9 0,119,2.799404107027017
395,1,2014 1 6 10 59,113,2.905779031917136
3466,1,2014 1 6 12 52,109,3.0122168316583386
3696,1,2014 1 6 14 41,86,3.098939829143573
1745,1,2014 1 6 16 7,56,3.156748412807272
3121,1,2014 1 6 17 3,38,3.1965885994904824
453,1,2014 1 6 17 41,25,3.2230730674337082
197,1,2014 1 6 18 6,17,3.241207733513635
75,1,2014 1 6 18 23,12,3.2540700732599412
73,1,2014 1 6 18 35,8,3.2626733109566874
7,1,2014 1 6 18 43,6,3.2691406627276853
32,1,2014 1 6 18 49,4,3.273459351087831
28,1,2014 1 6 18 53,3,3.276702110976985
125,1,2014 1 6 18 56,2,3.2788657353446835
52,1,2014 1 6 18 58,1,3.279948083214475
250,1,2014 1 6 18 59,1,3.2810307883654133
2022,1,2014 1 7 9 0,95,3.3855345042196427
3502,1,2014 1 7 10 35,90,3.4876066893248723
3294,1,2014 1 7 12 5,87,3.589200759971424
182,1,2014 1 7 13 32,84,3.6900987765052977
2295,1,2014 1 7 14 56,67,3.772606569156246
3089,1,2014 1 7 16 3,46,3.8303193253008567
2282,1,2014 1 7 16 49,34,3.8735432756833084
1047,1,2014 1 7 17 23,26,3.906925711806873
24,1,2014 1 7 17 49,19,3.9315023639846296
9,1,2014 1 7 18 8,14,3.949710348688451
76,1,2014 1 7 18 22,10,3.9627676579153
151,1,2014 1 7 18 32,8,3.9732445779970695
22,1,2014 1 7 18 40,6,3.9811204417165
79,1,2014 1 7 18 46,4,3.9863796888048872
31,1,2014 1 7 18 50,3,3.9903286830557243
41,1,2014 1 7 18 53,2,3.9929635189612718
3,1,2014 1 7 18 55,2,3.9956000946634127
13,1,2014 1 7 18 57,1,3.996919035297175
53,1,2014 1 7 18 58,1,3.998238411310944
258,1,2014 1 7 18 59,1,3.999558222848438
1277,1,2014 1 8 9 0,73,4.0
3657,1,2014 1 8 10 13,70,4.0
4792,1,2014 1 8 11 23,69,4.0
1102,1,2014 1 8 12 32,68,4.0
3375,1,2014 1 8 13 40,63,4.0
3966,1,2014 1 8 14 43,63,4.0
2246,1,2014 1 8 15 46,48,4.0
1674,1,2014 1 8 16 34,37,4.0
1240,1,2014 1 8 17 11,28,4.0
199,1,2014 1 8 17 39,21,4.0
164,1,2014 1 8 18 0,15,4.0
392,1,2014 1 8 18 15,12,4.0
104,1,2014 1 8 18 27,9,4.0
195,1,2014 1 8 18 36,6,4.0
21,1,2014 1 8 18 42,5,4.0
18,1,2014 1 8 18 47,4,4.0
57,1,2014 1 8 18 51,3,4.0
4,1,2014 1 8 18 54,2,4.0
126,1,2014 1 8 18 56,1,4.0
36,1,2014 1 8 18 57,1,4.0
65,1,2014 1 8 18 58,1,4.0
259,1,2014 1 8 18 59,1,4.0
2982,1,2014 1 9 9 0,991,2.4540047299001104
3330,1,2014 1 10 15 31,85,2.5238234549881806
64,1,2014 1 10 16 56,50,2.5658176124681025
50,1,2014 1 10 17 46,29,2.5904936473635973
407,1,2014 1 10 18 15,18,2.605929025185624
81,1,2014 1 10 18 33,11,2.6154069971388427
72,1,2014 1 10 18 44,7,2.6214563742382118
71,1,2014 1 10 18 51,4,2.62491944123289
15,1,2014 1 10 18 55,2,2.626652689930497
37,1,2014 1 10 18 57,2,2.6283870831017215
272,1,2014 1 10 18 59,1,2.6292547091010774
3928,1,2014 1 11 9 0,92,2.710313887908159
3486,1,2014 1 11 10 32,89,2.7911071669191756
3562,1,2014 1 11 12 1,86,2.8714643235732975
3829,1,2014 1 11 13 27,82,2.9502375943495416
3264,1,2014 1 11 14 49,78,3.0271728254791572
2896,1,2014 1 11 16 7,55,3.0826250760523024
34,1,2014 1 11 17 2,39,3.1225601902984708
1325,1,2014 1 11 17 41,26,3.149470607628515
49,1,2014 1 11 18 7,17,3.167191148430081
122,1,2014 1 11 18 24,12,3.179759762336367
231,1,2014 1 11 18 36,8,3.1881665355274937
134,1,2014 1 11 18 44,6,3.1944861981245847
44,1,2014 1 11 18 50,4,3.198706264430626
5,1,2014 1 11 18 54,2,3.2008183877132543
185,1,2014 1 11 18 56,2,3.2029319056424654
184,1,2014 1 11 18 58,1,3.2039891878872946
339,1,2014 1 11 18 59,1,3.205046819139152
2751,1,2014 1 12 9 0,71,3.2810379069567226
1985,1,2014 1 12 10 11,68,3.3555066921319963
1999,1,2014 1 12 11 19,66,3.4294012217388645
3578,1,2014 1 12 12 25,65,3.5037664598069402
410,1,2014 1 12 13 30,63,3.57738211425554
108,1,2014 1 12 14 33,61,3.650134261899452
